zona,shots,goals,avgXg,totalXg,conversionRate%,efficiency%
ATA,13091,6228,0.4756,6226.1544,47.57,100.03
MEI,7264,2727,0.3770,2738.2950,37.54,99.59
VOL,3660,684,0.1880,688.1495,18.69,99.40
LAT,2956,354,0.1172,346.4657,11.98,102.17
ZAG,2260,115,0.0454,102.5963,5.09,112.09
